TIMESTAPMP,Activity_1,Activity_2
2017-11-21 16:17:30,0,0
2017-11-21 16:18:00,0,0
2017-11-21 16:18:30,0,0
2017-11-21 16:19:00,Act22,0
2017-11-21 16:19:30,Act22,0
2017-11-21 16:20:00,Act22,0
2017-11-21 16:20:30,Act22,0
2017-11-21 16:21:00,Act22,Act01
2017-11-21 16:21:30,Act22,Act01
2017-11-21 16:22:00,Act01,Act22
2017-11-21 16:22:30,Act01,Act11
2017-11-21 16:23:00,Act11,Act22
2017-11-21 16:23:30,Act01,Act22
2017-11-21 16:24:00,Act01,Act17
2017-11-21 16:24:30,Act01,Act22
2017-11-21 16:25:00,Act22,Act01
2017-11-21 16:25:30,Act22,Act11
2017-11-21 16:26:00,Act11,Act22
2017-11-21 16:26:30,Act11,Act22
2017-11-21 16:27:00,Act11,Act22
2017-11-21 16:27:30,Act11,0
2017-11-21 16:28:00,Act11,0
2017-11-21 16:28:30,Act11,Act22
2017-11-21 16:29:00,Act11,Act22
2017-11-21 16:29:30,Act11,0
2017-11-21 16:30:00,Act11,0
2017-11-21 16:30:30,Act11,0
2017-11-21 16:31:00,Act11,Act22
2017-11-21 16:31:30,Act22,Act19
2017-11-21 16:32:00,Act22,Act01
2017-11-21 16:32:30,Act01,Act22
2017-11-21 16:33:00,Act01,Act23
2017-11-21 16:33:30,Act01,Act23
2017-11-21 16:34:00,Act23,Act11
2017-11-21 16:34:30,Act11,Act23
2017-11-21 16:35:00,Act11,Act01
2017-11-21 16:35:30,Act17,Act01
2017-11-21 16:36:00,Act17,Act23
2017-11-21 16:36:30,Act17,Act11
2017-11-21 16:37:00,Act17,Act23
2017-11-21 16:37:30,Act07,Act23
2017-11-21 16:38:00,Act07,0
2017-11-21 16:38:30,Act07,Act23
2017-11-21 16:39:00,Act07,Act19
2017-11-21 16:39:30,Act07,Act22
2017-11-21 16:40:00,Act07,Act22
2017-11-21 16:40:30,Act07,0
2017-11-21 16:41:00,Act07,0
2017-11-21 16:41:30,Act07,Act23
2017-11-21 16:42:00,Act23,Act17
2017-11-21 16:42:30,Act07,Act10
2017-11-21 16:43:00,Act18,Act17
2017-11-21 16:43:30,Act07,Act23
2017-11-21 16:44:00,Act07,Act22
2017-11-21 16:44:30,Act07,Act22
2017-11-21 16:45:00,Act07,Act22
2017-11-21 16:45:30,Act07,0
2017-11-21 16:46:00,Act07,0
2017-11-21 16:46:30,Act07,0
2017-11-21 16:47:00,Act07,Act23
2017-11-21 16:47:30,Act23,Act01
2017-11-21 16:48:00,Act22,Act07
2017-11-21 16:48:30,Act22,Act07
2017-11-21 16:49:00,Act22,Act07
2017-11-21 16:49:30,Act01,Act07
2017-11-21 16:50:00,Act07,Act22
2017-11-21 16:50:30,Act07,0
2017-11-21 16:51:00,Act07,Act17
2017-11-21 16:51:30,Act07,0
2017-11-21 16:52:00,0,0
