TIMESTAPMP,Activity_1,Activity_2
2017-11-13 11:51:30,0,0
2017-11-13 11:52:00,Act05,0
2017-11-13 11:52:30,Act05,0
2017-11-13 11:53:00,Act05,Act13
2017-11-13 11:53:30,Act05,Act21
2017-11-13 11:54:00,Act05,0
2017-11-13 11:54:30,Act05,0
2017-11-13 11:55:00,Act05,Act18
2017-11-13 11:55:30,Act02,Act05
2017-11-13 11:56:00,Act02,Act16
2017-11-13 11:56:30,Act02,Act16
2017-11-13 11:57:00,Act02,Act05
2017-11-13 11:57:30,Act02,Act05
2017-11-13 11:58:00,Act05,Act02
2017-11-13 11:58:30,Act02,Act05
2017-11-13 11:59:00,Act02,Act05
2017-11-13 11:59:30,Act24,Act05
2017-11-13 12:00:00,Act24,Act05
2017-11-13 12:00:30,Act05,Act24
2017-11-13 12:01:00,Act24,Act05
2017-11-13 12:01:30,Act05,0
2017-11-13 12:02:00,Act05,Act18
2017-11-13 12:02:30,Act24,Act05
2017-11-13 12:03:00,Act05,Act24
2017-11-13 12:03:30,Act05,0
2017-11-13 12:04:00,Act05,0
2017-11-13 12:04:30,Act05,0
2017-11-13 12:05:00,Act05,Act24
2017-11-13 12:05:30,Act05,Act24
2017-11-13 12:06:00,Act05,Act24
2017-11-13 12:06:30,Act24,Act05
2017-11-13 12:07:00,Act17,Act05
2017-11-13 12:07:30,Act17,Act24
2017-11-13 12:08:00,Act17,Act22
2017-11-13 12:08:30,Act17,Act22
2017-11-13 12:09:00,Act17,Act22
2017-11-13 12:09:30,Act21,Act24
2017-11-13 12:10:00,Act24,Act17
2017-11-13 12:10:30,Act24,Act21
2017-11-13 12:11:00,Act24,Act05
2017-11-13 12:11:30,Act24,Act05
2017-11-13 12:12:00,Act24,Act05
2017-11-13 12:12:30,Act24,Act05
2017-11-13 12:13:00,Act24,Act05
2017-11-13 12:13:30,Act24,Act05
2017-11-13 12:14:00,Act24,Act05
2017-11-13 12:14:30,Act24,Act05
2017-11-13 12:15:00,Act05,Act24
2017-11-13 12:15:30,Act24,0
2017-11-13 12:16:00,Act24,Act05
2017-11-13 12:16:30,Act24,0
2017-11-13 12:17:00,Act24,0
2017-11-13 12:17:30,Act24,0
2017-11-13 12:18:00,Act24,Act02
2017-11-13 12:18:30,Act24,Act02
2017-11-13 12:19:00,Act24,Act05
2017-11-13 12:19:30,Act24,Act05
2017-11-13 12:20:00,Act24,0
2017-11-13 12:20:30,Act22,Act05
2017-11-13 12:21:00,Act22,Act05
2017-11-13 12:21:30,Act22,0
2017-11-13 12:22:00,Act22,Act05
2017-11-13 12:22:30,Act22,Act02
2017-11-13 12:23:00,Act13,Act24
2017-11-13 12:23:30,Act13,Act24
