TIMESTAPMP,Activity_1,Activity_2
2017-11-13 17:03:30,0,0
2017-11-13 17:04:00,Act01,Act11
2017-11-13 17:04:30,Act01,Act11
2017-11-13 17:05:00,Act01,Act19
2017-11-13 17:05:30,Act01,Act19
2017-11-13 17:06:00,Act11,Act01
2017-11-13 17:06:30,Act01,Act11
2017-11-13 17:07:00,Act01,Act11
2017-11-13 17:07:30,Act11,Act01
2017-11-13 17:08:00,Act11,Act01
2017-11-13 17:08:30,Act01,Act19
2017-11-13 17:09:00,Act01,Act11
2017-11-13 17:09:30,Act11,Act23
2017-11-13 17:10:00,Act11,0
2017-11-13 17:10:30,Act11,0
2017-11-13 17:11:00,Act11,0
2017-11-13 17:11:30,Act11,0
2017-11-13 17:12:00,Act11,0
2017-11-13 17:12:30,Act11,0
2017-11-13 17:13:00,Act11,0
2017-11-13 17:13:30,Act11,0
2017-11-13 17:14:00,Act11,0
2017-11-13 17:14:30,Act11,0
2017-11-13 17:15:00,Act11,0
2017-11-13 17:15:30,Act11,0
2017-11-13 17:16:00,Act11,0
2017-11-13 17:16:30,Act11,Act23
2017-11-13 17:17:00,Act01,Act23
2017-11-13 17:17:30,Act01,Act11
2017-11-13 17:18:00,Act01,Act18
2017-11-13 17:18:30,Act11,Act01
2017-11-13 17:19:00,Act11,Act01
2017-11-13 17:19:30,Act18,Act01
2017-11-13 17:20:00,Act11,Act01
2017-11-13 17:20:30,Act11,Act01
2017-11-13 17:21:00,Act11,0
2017-11-13 17:21:30,Act11,0
2017-11-13 17:22:00,Act11,0
2017-11-13 17:22:30,Act11,Act07
2017-11-13 17:23:00,Act11,Act01
2017-11-13 17:23:30,Act11,Act01
2017-11-13 17:24:00,Act11,0
2017-11-13 17:24:30,Act11,0
2017-11-13 17:25:00,Act11,0
2017-11-13 17:25:30,Act11,0
2017-11-13 17:26:00,Act11,Act07
2017-11-13 17:26:30,Act11,0
2017-11-13 17:27:00,Act11,0
2017-11-13 17:27:30,Act01,Act11
2017-11-13 17:28:00,Act01,Act11
2017-11-13 17:28:30,Act01,Act17
2017-11-13 17:29:00,Act01,Act17
2017-11-13 17:29:30,Act01,Act17
2017-11-13 17:30:00,Act07,Act01
2017-11-13 17:30:30,Act17,Act11
